Employee_ID,Date,Claimed_Hours,Active_Hours,Claimed_Minus_Active,Utilization_Rate,Commits,PRs_Opened,Tasks_Done,Performance_Score,Meetings_Hours,Recent_HR_Flag,Project_Type,Role_Level,Team_ID,Productivity_Level
E001,2024-08-01,8.18,7.47,0.71,91.29,3,2,6,11.45,2.12,0,AI/ML,Junior,T02,Low
E001,2024-08-02,8.66,8.09,0.57,93.37,8,1,6,13.48,1.41,0,AI/ML,Junior,T02,Low
E001,2024-08-03,8.35,8.1,0.25,97.05,7,0,7,13.62,0.56,0,AI/ML,Junior,T02,Low
E001,2024-08-04,7.06,6.52,0.54,92.35,4,0,9,12.13,0.59,0,AI/ML,Junior,T02,Low
E001,2024-08-05,8.12,7.36,0.76,90.65,1,0,6,10.34,2.14,0,AI/ML,Junior,T02,Low
E001,2024-08-06,8.68,8.55,0.13,98.55,9,2,9,15.99,1.06,0,AI/ML,Junior,T02,Low
E001,2024-08-07,7.5,6.83,0.67,91.07,6,2,3,10.18,2.38,0,AI/ML,Junior,T02,Low
E001,2024-08-08,9.97,9.05,0.92,90.77,8,2,2,12.69,1.06,0,AI/ML,Junior,T02,Low
E001,2024-08-09,9.62,9.13,0.49,94.94,5,0,4,12.29,2.27,0,AI/ML,Junior,T02,Low
E001,2024-08-10,9.32,8.91,0.41,95.63,0,2,9,13.37,2.94,0,AI/ML,Junior,T02,Low
E001,2024-08-11,7.01,6.36,0.65,90.73,0,0,7,9.53,2.19,0,AI/ML,Junior,T02,Low
E001,2024-08-12,7.28,7.2,0.09,98.82,2,2,6,10.86,2.24,0,AI/ML,Junior,T02,Low
E001,2024-08-13,9.14,9.0,0.14,98.48,6,0,4,12.69,0.71,0,AI/ML,Junior,T02,Low
E001,2024-08-14,10.58,10.48,0.1,99.03,4,0,6,14.55,0.87,0,AI/ML,Junior,T02,Low
E001,2024-08-15,8.71,8.03,0.68,92.24,4,3,5,11.94,1.26,1,AI/ML,Junior,T02,Low
E001,2024-08-16,5.92,5.84,0.08,98.66,7,3,4,10.16,2.55,0,AI/ML,Junior,T02,Low
E001,2024-08-17,8.78,8.39,0.4,95.48,5,1,3,11.22,2.44,0,AI/ML,Junior,T02,Low
E001,2024-08-18,8.28,8.03,0.25,96.99,7,1,8,14.11,1.48,0,AI/ML,Junior,T02,Low
E001,2024-08-19,8.86,8.56,0.29,96.68,3,3,7,13.4,1.07,0,AI/ML,Junior,T02,Low
E001,2024-08-20,8.07,7.49,0.58,92.83,0,1,4,9.18,3.42,0,AI/ML,Junior,T02,Low
E001,2024-08-21,9.27,8.66,0.61,93.42,3,3,8,13.71,3.0,0,AI/ML,Junior,T02,Low
E001,2024-08-22,8.86,8.3,0.56,93.66,2,0,2,9.61,1.95,0,AI/ML,Junior,T02,Low
E001,2024-08-23,6.38,5.45,0.93,85.42,3,3,7,10.2,1.7,0,AI/ML,Junior,T02,Low
E001,2024-08-24,7.5,7.2,0.3,96.02,3,3,6,11.56,0.97,0,AI/ML,Junior,T02,Low
E001,2024-08-25,9.3,8.29,1.01,89.15,9,0,7,13.97,2.1,1,AI/ML,Junior,T02,Low
E001,2024-08-26,8.36,7.95,0.41,95.06,0,2,3,9.41,2.94,0,AI/ML,Junior,T02,Low
E001,2024-08-27,7.05,6.5,0.55,92.23,2,0,9,11.13,3.12,0,AI/ML,Junior,T02,Low
E001,2024-08-28,7.41,6.86,0.55,92.53,6,1,2,9.36,3.35,0,AI/ML,Junior,T02,Low
E001,2024-08-29,7.2,7.05,0.16,97.82,5,0,4,10.03,3.43,0,AI/ML,Junior,T02,Low
E001,2024-08-30,9.56,8.83,0.72,92.43,8,2,6,14.4,1.54,0,AI/ML,Junior,T02,Low
E001,2024-08-31,8.52,8.18,0.34,96.02,4,0,3,10.5,2.53,0,AI/ML,Junior,T02,Low
E001,2024-09-01,10.84,10.18,0.65,93.97,9,2,4,15.21,0.51,0,AI/ML,Junior,T02,Low
E001,2024-09-02,8.11,7.36,0.74,90.85,7,3,3,11.41,1.0,0,AI/ML,Junior,T02,Low
E001,2024-09-03,6.98,6.75,0.22,96.78,0,0,9,10.75,3.33,0,AI/ML,Junior,T02,Low
E001,2024-09-04,7.98,7.76,0.22,97.21,6,2,3,10.99,3.14,0,AI/ML,Junior,T02,Low
E001,2024-09-05,7.82,7.65,0.16,97.93,5,0,5,11.47,1.25,0,AI/ML,Junior,T02,Low
E001,2024-09-06,8.12,6.75,1.37,83.09,2,0,8,11.17,1.15,0,AI/ML,Junior,T02,Low
E001,2024-09-07,7.22,6.74,0.48,93.35,0,2,5,9.5,0.89,0,AI/ML,Junior,T02,Low
E001,2024-09-08,8.0,7.17,0.83,89.65,3,1,8,11.77,3.33,0,AI/ML,Junior,T02,Low
